2022-05-03 17:44:15,523 INFO    MainThread:26812 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ganat\.config\wandb\settings
2022-05-03 17:44:15,524 INFO    MainThread:26812 [wandb_setup.py:_flush():76] Loading settings from c:\Research\PINNs_Adaptive_thermal\wandb\settings
2022-05-03 17:44:15,524 INFO    MainThread:26812 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-05-03 17:44:15,524 INFO    MainThread:26812 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'c:\\Research\\PINNs_Adaptive_thermal\\main.py'}
2022-05-03 17:44:15,524 INFO    MainThread:26812 [wandb_init.py:_log_setup():428] Logging user logs to c:\Research\PINNs_Adaptive_thermal\wandb\run-20220503_174415-sh4vmkep\logs\debug.log
2022-05-03 17:44:15,524 INFO    MainThread:26812 [wandb_init.py:_log_setup():429] Logging internal logs to c:\Research\PINNs_Adaptive_thermal\wandb\run-20220503_174415-sh4vmkep\logs\debug-internal.log
2022-05-03 17:44:15,525 INFO    MainThread:26812 [wandb_init.py:_jupyter_setup():378] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002BE452DB648>
2022-05-03 17:44:15,525 INFO    MainThread:26812 [wandb_init.py:init():462] calling init triggers
2022-05-03 17:44:15,525 INFO    MainThread:26812 [wandb_init.py:init():466] wandb.init called with sweep_config: {}
config: {}
2022-05-03 17:44:15,525 INFO    MainThread:26812 [wandb_init.py:init():515] starting backend
2022-05-03 17:44:15,525 INFO    MainThread:26812 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=spawn, using: spawn
2022-05-03 17:44:15,532 INFO    MainThread:26812 [backend.py:ensure_launched():217] starting backend process...
2022-05-03 17:44:15,625 INFO    MainThread:26812 [backend.py:ensure_launched():222] started backend process with pid: 22912
2022-05-03 17:44:15,626 INFO    MainThread:26812 [wandb_init.py:init():525] backend started and connected
2022-05-03 17:44:15,713 INFO    MainThread:26812 [wandb_run.py:_label_probe_notebook():1089] probe notebook
2022-05-03 17:44:15,715 INFO    MainThread:26812 [wandb_run.py:_label_probe_notebook():1099] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-05-03 17:44:15,715 INFO    MainThread:26812 [wandb_init.py:init():596] updated telemetry
2022-05-03 17:44:15,772 INFO    MainThread:26812 [wandb_init.py:init():628] communicating run to backend with 30 second timeout
